##### Bois D'emeraude -----------------------------------------------------------------------------------------------------------
TO;Ziedsiard;P;9643;2636;S;1;400;280;100;120;30;20;12000;0.75;
TO;Weekut;P;12383;827;S;1;400;280;100;120;30;20;12000;0.75;
TO;Drerziabs;P;12217;2208;S;1;400;280;100;120;30;20;12000;0.75;
TO;Sles;P;14861;2666;S;1;400;280;100;120;30;20;12000;0.75;
TO;Krulb;P;16467;2757;S;1;400;280;100;120;30;20;12000;0.75;
TO;Driel;P;13937;3727;S;1;400;280;100;120;30;20;12000;0.75;
TO;Friard;P;14722;5029;S;1;400;280;100;120;30;20;12000;0.75;
TO;Dreat;P;17627;4995;S;1;400;280;100;120;30;20;12000;0.75;
TO;Geebuc;P;17506;6220;S;1;400;280;100;120;30;20;12000;0.75;
TO;Krudong;P;19057;7772;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kresrurx;P;18453;9423;S;1;400;280;100;120;30;20;12000;0.75;
TO;Arriazz;P;19818;11075;S;1;400;280;100;120;30;20;12000;0.75;
TO;Emiecs;P;19656;12626;S;1;400;280;100;120;30;20;12000;0.75;
TO;Ect;P;17988;13293;S;1;400;280;100;120;30;20;12000;0.75;
TO;Jeag;P;20125;14296;S;1;400;280;100;120;30;20;12000;0.75;
TO;Oc;P;18063;15529;S;1;400;280;100;120;30;20;12000;0.75;
TO;Olk;P;17711;7985;S;1;400;280;100;120;30;20;12000;0.75;
TO;Ziorm;P;17861;14076;S;1;400;280;100;120;30;20;12000;0.75;
TO;Prelkis;P;20431;14628;S;1;400;280;100;120;30;20;12000;0.75;

#### Foret de la malice
TO;Glearnets;P;13749;7728;S;1;400;280;100;120;30;20;12000;0.75;
TO;Zealgiel;P;12731;8812;S;1;400;280;100;120;30;20;12000;0.75;
TO;Casselb;P;14623;8900;S;1;400;280;100;120;30;20;12000;0.75;
TO;Tihdeags;P;15883;9891;S;1;400;280;100;120;30;20;12000;0.75;
TO;Diar;P;13142;10472;S;1;400;280;100;120;30;20;12000;0.75;
TO;Vrold;P;13853;12039;S;1;400;280;100;120;30;20;12000;0.75;
TO;Vreank;P;12749;12874;S;1;400;280;100;120;30;20;12000;0.75;
TO;Streerx;P;10739;13747;S;1;400;280;100;120;30;20;12000;0.75;
TO;Streerx;P;12286;15075;S;1;400;280;100;120;30;20;12000;0.75;
TO;Ignurd;P;10316;15475;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kybdierx;P;9327;17204;S;1;400;280;100;120;30;20;12000;0.75;
TO;Doinacs;P;11353;17402;S;1;400;280;100;120;30;20;12000;0.75;
TO;Iahkek;P;12813;18306;S;1;400;280;100;120;30;20;12000;0.75;
TO;Luhort;P;11906;19096;S;1;400;280;100;120;30;20;12000;0.75;
TO;Stekx;P;13341;16606;S;1;400;280;100;120;30;20;12000;0.75;
TO;Trealk;P;9870;18628;S;1;400;280;100;120;30;20;12000;0.75;
TO;Plet;P;15232;11007;S;1;400;280;100;120;30;20;12000;0.75;
TO;Greal;P;8540;18615;S;1;400;280;100;120;30;20;12000;0.75;
TO;Zryg;P;2103;20638;S;1;400;280;100;120;30;20;12000;0.75;

#### Plaines partie Gauche -------------------------------------------------------------------------------------------
TO;Tosniagz;Y;2300;6228;S;1;400;280;100;120;30;20;12000;0.75;
TO;Tigrats;Y;7114;9869;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kliarert;Y;4076;15639;S;1;400;280;100;120;30;20;12000;0.75;
TO;Zruvold;Y;7521;15404;S;1;400;280;100;120;30;20;12000;0.75;
TO;Stiertuirk;Y;7887;15038;S;1;400;280;100;120;30;20;12000;0.75;
TO;Cralb;Y;6781;18144;S;1;400;280;100;120;30;20;12000;0.75;

#### Plaines partie Haut Droite
TO;Slort;P;22529;9823;S;1;400;280;100;120;30;20;12000;0.75;
TO;Peank;P;26082;3767;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kloiq;P;24366;2469;S;1;400;280;100;120;30;20;12000;0.75;
TO;Streenk;P;26763;13119;S;1;400;280;100;120;30;20;12000;0.75;
TO;Walx;P;22666;17336;S;1;400;280;100;120;30;20;12000;0.75;
TO;Lussoq;P;26847;7388;S;1;400;280;100;120;30;20;12000;0.75;
TO;Ciyrd;P;27284;10415;S;1;400;280;100;120;30;20;12000;0.75;
TO;Tadsac;P;24953;15594;S;1;400;280;100;120;30;20;12000;0.75;

#### Plaines partie Bas Droite
TO;Podag;R;24548;18479;S;1;400;280;100;120;30;20;12000;0.75;
TO;Heeviosb;R;26860;17733;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kos;R;26907;19972;S;1;400;280;100;120;30;20;12000;0.75;
TO;Bagz;R;26244;25627;S;1;400;280;100;120;30;20;12000;0.75;
TO;Plogs;R;21938;25746;S;1;400;280;100;120;30;20;12000;0.75;
TO;Zek;R;20393;22395;S;1;400;280;100;120;30;20;12000;0.75;
TO;Zard;R;17818;22923;S;1;400;280;100;120;30;20;12000;0.75;
TO;Uzild;R;12991;22837;S;1;400;280;100;120;30;20;12000;0.75;
TO;Elsiorx;R;16329;16143;S;1;400;280;100;120;30;20;12000;0.75;
TO;Plyleenk;R;15756;17213;S;1;400;280;100;120;30;20;12000;0.75;
TO;Wiarvuil;R;17413;17165;S;1;400;280;100;120;30;20;12000;0.75;
TO;Igkeel;R;15084;18182;S;1;400;280;100;120;30;20;12000;0.75;
TO;Strybs;R;14304;18917;S;1;400;280;100;120;30;20;12000;0.75;
TO;Gink;R;14102;19508;S;1;400;280;100;120;30;20;12000;0.75;
TO;Strobs;R;19304;23355;S;1;400;280;100;120;30;20;12000;0.75;
TO;Krield;R;24720;21916;S;1;400;280;100;120;30;20;12000;0.75;
TO;Kliec;R;15815;16117;S;1;400;280;100;120;30;20;12000;0.75;

#Marais Grincheux Bleu---------------------------------------------------------------------------------------------------------------------
TO;Oviakx;B;7727;10733;S;1;300;200;100;120;30;20;12000;0.75;
TO;Struigizz;B;6060;12449;S;1;300;200;100;120;30;20;12000;0.75;
TO;Kiollegz;B;6167;10825;S;1;550;400;300;120;30;20;12000;0.75;
TO;Chodsogs;B;7651;11893;S;1;550;400;300;120;30;20;12000;0.75;
TO;Gromluk le Sanguinaire;B;7037;11036;B;2;700;550;100;300;60;20;12000;2.25;
TO;Issykx;B;5751;11287;S;1;550;400;100;120;30;20;12000;0.75;
